L1_level|L1_title|L1_ident|L1_type|L1_single|L1_word|L1_plural|L1_aword|L1_p1desc|L1_p1word|L1_p2desc|L1_p2word|L1_p3desc|L1_p3word|L1_example|L1_counter
A2|Cechy ||przymiotnik|wada|zły||zlość||zła pogoda||zła wróżba|||zły to ptak, co swe gniazdo plugawi|1
A2|Cechy ||прилагательное|недостаток|плохой||||||||||2
A2|Cechy ||przymiotnik|zaleta|dobry||dobro||||||||3
A2|Cechy ||прилагательное|достоинство|хороший||добро||||||||4
A2|Cechy ||przymiotnik|wada|bezczełny||bezczełność|||||||Zamiast porządnieć, wspinasz się na szczyt bezczelności.|5
A2|Cechy ||прилагательное|недостаток|нахальный||||||||||6
A2|Cechy ||przymiotnik|wada|brutałny||brutałność|||||||to było brutalne przestępstwo|7
A2|Cechy ||прилагательное|недостаток|зверский||зверство||||||||8
A2|Cechy ||przymiotnik|wada|chamski||||||||||9
A2|Cechy ||прилагательное|недостаток|невоспитанный||||||||||10
A2|Cechy ||przymiotnik|wada|wulgarny||wulgarność||||||||11
A2|Cechy ||прилагательное|недостаток|вульгарный||||||||||12
A2|Cechy ||przymiotnik|wada|agresywny||||||||||13
A2|Cechy ||прилагательное|недостаток|агрессивный||||||||||14
A2|Cechy ||przymiotnik|zaleta|wrażliwy||||||||||15
A2|Cechy ||прилагательное|достоинство|чувствительный||||||||||16
A2|Cechy ||przymiotnik|zaleta|koleźenski||||||||||17
A2|Cechy ||прилагательное|достоинство|компанейский||||||||||18
A2|Cechy ||przymiotnik|zaleta|miły||||||||||19
A2|Cechy ||прилагательное|достоинство|приятный||||||||||20
A2|Cechy ||przymiotnik|zaleta|naiwny||||||||||21
A2|Cechy ||прилагательное|достоинство|наивный||||||||||22
A2|Cechy ||przymiotnik|zaleta|nieśmialy||||||||||23
A2|Cechy ||прилагательное|достоинство|застенчивый||||||||||24
A2|Cechy ||przymiotnik|zaleta|wstydliwy||||||||||25
A2|Cechy ||прилагательное|достоинство|застенчивый||||||||||26
A2|Cechy ||przymiotnik|wada|obojętny||obojętność|||||||Czy to obojętność?|27
A2|Cechy ||прилагательное|недостаток|безразличный||безразличие||||||||28
A2|Cechy ||przymiotnik|zaleta|odwaźny||||||||||29
A2|Cechy ||прилагательное|достоинство|отважный||||||||||30
A2|Cechy ||przymiotnik|wada|tchórzliwy||||||||||31
A2|Cechy ||прилагательное|недостаток|трусливый||||||||||32
A2|Cechy ||przymiotnik|wada|samolubny ||||||||||33
A2|Cechy ||прилагательное|недостаток|эгоистичный||||||||||34
A2|Cechy ||przymiotnik|wada|egoista||||||||||35
A2|Cechy ||прилагательное|недостаток|эгоист||||||||||36
A2|Cechy ||przymiotnik|zaleta|interesowny||||||||||37
A2|Cechy ||прилагательное|достоинство|любознательный||||||||||38
A2|Cechy ||przymiotnik|zaleta|surowy||||||||||39
A2|Cechy ||прилагательное|достоинство|суровый||||||||||40
A2|Cechy ||przymiotnik|zaleta|łagodny||||||||||41
A2|Cechy ||прилагательное|достоинство|нежный||||||||||42
A2|Cechy ||przymiotnik|zaleta|skromny||||||||||43
A2|Cechy ||прилагательное|достоинство|скромный||||||||||44
A2|Cechy ||przymiotnik|zaleta|szczery||||||||||45
A2|Cechy ||прилагательное|достоинство|честный||||||||||46
A2|Cechy ||przymiotnik|wada|fałszywy||||||||||47
A2|Cechy ||прилагательное|недостаток|ложный||||||||||48
A2|Cechy ||przymiotnik|wada|obłudny||||||||||49
A2|Cechy ||прилагательное|недостаток|лицемерный||||||||||50
A2|Cechy ||przymiotnik|wada|dwulicowy||||||||||51
A2|Cechy ||прилагательное|недостаток|двуликий||||||||||52
A2|Cechy ||przymiotnik|zaleta|źyczliwy||||||||||53
A2|Cechy ||прилагательное|достоинство|дружелюбный||||||||||54
A2|Cechy ||przymiotnik|zaleta|sympatyczny||||||||||55
A2|Cechy ||прилагательное|достоинство|симпатический||||||||||56
A2|Cechy ||przymiotnik|zaleta|uroczy||||||||||57
A2|Cechy ||прилагательное|достоинство|очаровательный||||||||||58
A2|Cechy ||przymiotnik|zaleta|skryty||||||||||59
A2|Cechy ||прилагательное|достоинство|скрытный||||||||||60
A2|Cechy ||przymiotnik|zaleta|cierpliwy||||||||||61
A2|Cechy ||прилагательное|достоинство|терпели́вый||||||||||62
A2|Cechy ||przymiotnik|zaleta|spokojny||||||||||63
A2|Cechy ||прилагательное|достоинство|спокойный||||||||||64
A2|Cechy ||przymiotnik|wada|nerwowy||||||||||65
A2|Cechy ||прилагательное|недостаток|нервный||||||||||66
A2|Cechy ||przymiotnik|wada|wybuchowy||||||||||67
A2|Cechy ||прилагательное|недостаток|вспыльчивый||||||||||68
A2|Cechy ||przymiotnik|zaleta|uprzejmy||||||||||69
A2|Cechy ||прилагательное|достоинство|учтивый||||||||||70
A2|Cechy ||przymiotnik|zaleta|grzeczny||||||||||71
A2|Cechy ||прилагательное|достоинство|вежливый||||||||||72
A2|Cechy ||przymiotnik|zaleta|zdolny||||||||||73
A2|Cechy ||прилагательное|достоинство|способный||||||||||74
A2|Cechy ||przymiotnik|zaleta|dumny||||||||||75
A2|Cechy ||прилагательное|достоинство|гордый||||||||||76
A2|Cechy ||przymiotnik|zaleta|utalentowany||||||||||77
A2|Cechy ||прилагательное|достоинство|одаренный||||||||||78
A2|Cechy ||przymiotnik|zaleta|pilny||||||||||79
A2|Cechy ||прилагательное|достоинство|старательный||||||||||80
A2|Cechy ||przymiotnik|zaleta|ambitny||||||||||81
A2|Cechy ||прилагательное|достоинство|честолюбивый||||||||||82
A2|Cechy ||przymiotnik|zaleta|pracowity||||||||||83
A2|Cechy ||прилагательное|достоинство|трудолюбивый||||||||||84
A2|Cechy ||przymiotnik|zaleta|leniwy||||||||||85
A2|Cechy ||прилагательное|достоинство|ленивый||||||||||86
A2|Cechy ||przymiotnik|zaleta|obowiązkowy||||||||||87
A2|Cechy ||прилагательное|достоинство|обязательный||||||||||88
A2|Cechy ||przymiotnik|zaleta|solidny||||||||||89
A2|Cechy ||прилагательное|достоинство|надёжный||||||||||90
A2|Cechy ||przymiotnik|zaleta|punktualny||||||||||91
A2|Cechy ||прилагательное|достоинство|пунктуальный||||||||||92
A2|Cechy ||przymiotnik|zaleta|madry||||||||||93
A2|Cechy ||прилагательное|достоинство|мудрый||||||||||94
A2|Cechy ||przymiotnik|zaleta|rozwaźny||||||||||95
A2|Cechy ||прилагательное|достоинство|вдумчивый||||||||||96
A2|Cechy ||przymiotnik|zaleta|rozsądny||||||||||97
A2|Cechy ||прилагательное|достоинство|рассуди́тельный||||||||||98
A2|Cechy ||przymiotnik|wada|głupi||||||||||99
A2|Cechy ||прилагательное|недостаток|глупый||||||||||100
A2|Cechy ||przymiotnik|zaleta|inteligentny||||||||||101
A2|Cechy ||прилагательное|достоинство|умный||||||||||102
A2|Cechy ||przymiotnik|zaleta|kulturalny||||||||||103
A2|Cechy ||прилагательное|достоинство|культурный||||||||||104
A2|Cechy ||przymiotnik|zaleta|wychowany||||||||||105
A2|Cechy ||прилагательное|достоинство|образованный||||||||||106
A2|Cechy ||przymiotnik|zaleta|sprytny||||||||||107
A2|Cechy ||прилагательное|достоинство|умный||||||||||108
A2|Cechy ||przymiotnik|zaleta|bystry||||||||||109
A2|Cechy ||прилагательное|достоинство|сообразительный||||||||||110
A2|Cechy ||przymiotnik|zaleta|uparty||||||||||111
A2|Cechy ||прилагательное|достоинство|упрямый||||||||||112
A2|Cechy ||przymiotnik|zaleta|elokwentny||||||||||113
A2|Cechy ||прилагательное|достоинство|красноречивый||||||||||114
A2|Cechy ||przymiotnik|wada|smutny||||||||||115
A2|Cechy ||прилагательное|недостаток|грустный||||||||||116
A2|Cechy ||przymiotnik|wada|ponury||||||||||117
A2|Cechy ||прилагательное|недостаток|тоскливый||||||||||118
A2|Cechy ||przymiotnik|zaleta|wesoły||||||||||119
A2|Cechy ||прилагательное|достоинство|веселый||||||||||120
A2|Cechy ||przymiotnik|zaleta|dowcipny z humorem||||||||||121
A2|Cechy ||прилагательное|достоинство|с остроумным юмором||||||||||122
A2|Cechy ||przymiotnik|zaleta|pogodny||||||||||123
A2|Cechy ||прилагательное|достоинство|веселый||||||||||124
A2|Cechy ||przymiotnik|wada|skąpy||||||||||125
A2|Cechy ||прилагательное|недостаток|скупой||||||||||126
A2|Cechy ||przymiotnik|zaleta|oszczędny||||||||||127
A2|Cechy ||прилагательное|достоинство|экономный||||||||||128
A2|Cechy ||przymiotnik|wada|rozrzutny||||||||||129
A2|Cechy ||прилагательное|недостаток|расточать||||||||||130
A2|Cechy ||przymiotnik|zaleta|gościnny||||||||||131
A2|Cechy ||прилагательное|достоинство|гостеприимный||||||||||132
A2|Cechy ||przymiotnik|zaleta|tolerancyjny||||||||||133
A2|Cechy ||прилагательное|достоинство|терпимый||||||||||134
A2|Cechy ||przymiotnik|wada|zarozumiały||||||||||135
A2|Cechy ||прилагательное|недостаток|тщеславный||||||||||136
A2|Cechy ||przymiotnik|zaleta|pewny sobie||||||||||137
A2|Cechy ||прилагательное|достоинство|уверенный в себе||||||||||138
A2|Cechy ||przymiotnik|wada|gadatliwy||||||||||139
A2|Cechy ||прилагательное|недостаток|болтливый||||||||||140
A2|Cechy ||przymiotnik|zaleta|małomowny||||||||||141
A2|Cechy ||прилагательное|достоинство|неразговорчивый||||||||||142
A2|Cechy ||przymiotnik|zaleta|optymista||||||||||143
A2|Cechy ||прилагательное|достоинство|оптимист||||||||||144
A2|Cechy ||przymiotnik|wada|pesymista||||||||||145
A2|Cechy ||прилагательное|недостаток|пессимист||||||||||146
